333 80726
621 173346
794 217851
122 40477
798 219144
393 14716
170 48687
448 133105
75 29345
242 64998
325 91994
19 6422
460 135888
487 142181
507 147327
770 211779
555 159411
700 191288
60 26085
242 64397
116 39385
387 104963
460 136315
732 197872
238 63684
583 165190
294 85909
46 24059
503 145141
387 105724
637 178647
688 188437
244 72069
399 31603
449 74
556 160042
818 223774
387 12197
387 107865
242 65923
741 165631
583 165900
521 151913
741 201656
43 21469
744 207690
242 69414
332 93297
457 134916
553 158052
191 55764
826 226669
310 29472
153 46077
227 61465
473 139691
393 112097
22 8142
242 70256
227 60082
308 88202
708 193279
38 19887
727 195367
167 6228
614 171475
387 80793
297 86132
241 64039
731 197400
393 21768
22 8944
285 78165
6 1374
35 12936
822 226510
657 182840
172 49924
164 47033
393 19109
419 6375
197 56663
35 14629
672 184956
788 215322
382 101871
415 117737
461 136793
327 47814
653 166714
35 16222
287 81841
740 200336
519 151187
98 35757
382 101258
446 130591
170 49268
621 30717
676 185251
742 203671
613 170839
101 36062
446 127162
621 32098
47 24386
344 95836
603 169944
814 156121
514 148384
683 108628
568 161643
183 54212
18 5664
652 181314
65 27107
814 222748
755 26182
568 162182
290 84715
416 119186
93 34912
652 180965
7 2352
290 83086
681 16563
45 22763
491 142832
287 29643
458 135505
93 33962
86 32211
371 32758
29 11471
435 121473
577 29409
86 31614
202 57861
695 190142
182 52470
742 206591
819 225028
381 98732
439 125621
515 148434
653 97960
340 95397
742 204826
371 98068
446 131192
621 173463
487 7168
794 217678
122 40864
305 87134
393 14825
798 220151
170 49042
448 132684
621 173052
794 218149
19 6563
460 136011
84 30533
507 147336
787 214391
196 56532
120 39829
555 159276
700 191411
752 210445
653 181878
242 63488
621 174433
387 105356
460 136430
732 197707
583 165307
358 96673
46 24198
171 49751
637 178284
387 105577
177 51734
40 21170
688 188544
244 71944
496 143865
556 159901
818 223893
396 113897
157 46597
666 183922
387 108226
242 67126
583 166017
294 86090
521 151574
582 165120
43 21334
387 108735
203 58138
242 69597
504 145612
684 187261
43 21811
9 2988
822 213044
393 111214
467 138384
22 8005
242 70375
137 43453
308 88093
162 46936
38 19802
700 11404
727 195256
167 6345
614 171342
22 8719
285 78250
552 157749
121 39898
393 108381
172 49791
432 120513
720 194230
557 160457
394 113206
511 148032
746 209443
35 14510
788 215469
428 6703
111 38413
415 117330
461 136910
536 155057
35 16075
287 81722
740 200219
519 150788
98 35616
292 85175
382 101169
446 130954
543 155565
186 55473
742 203266
788 214976
830 227303
740 200894
101 35907
475 140951
446 127009
621 32215
181 52149
344 95911
524 153678
836 227717
90 33343
514 148279
621 31548
768 211722
132 42527
577 164683
180 11825
167 47447
721 194419
568 162065
290 84606
416 119085
183 54818
212 59072
652 180760
681 185532
7 2469
693 189643
733 164857
290 82949
45 22880
204 58376
291 85016
458 135364
287 82308
683 186143
93 33855
636 177737
45 22213
23 9577
231 62035
685 187730
371 32579
538 155121
622 174485
753 210458
29 11588
435 121610
86 31733
286 80461
695 190259
683 186469
122 41213
742 207210
384 47852
381 98849
439 126222
653 98141
340 95272
742 204945
371 97889
446 131559
796 158131
621 173068
794 218069
400 115557
122 40759
305 87243
798 220002
170 48921
448 132807
690 189319
621 172657
495 143430
706 59808
19 6700
174 51247
460 136190
130 42018
507 146949
730 196773
507 112489
555 159129
700 191174
798 194616
653 181995
690 189482
680 185443
148 45068
387 105337
460 136545
798 219060
396 113657
46 24077
637 178401
387 105938
688 188731
244 71315
496 143732
548 156707
556 159760
199 57078
396 113692
818 224008
245 72217
242 67245
387 108111
741 165353
583 166394
741 201426
387 108584
242 68688
457 134718
504 145495
412 116768
684 187376
459 31858
577 80779
43 21676
80 30061
798 100955
227 61711
473 139453
393 111387
415 118835
580 164987
242 70554
35 17640
227 60328
287 13588
38 19153
700 11015
221 59546
727 195021
167 6466
614 171205
393 110125
507 147476
22 9114
822 226256
266 75506
172 49906
394 113341
746 209558
35 14299
788 215088
111 38550
415 117447
393 16756
364 97056
461 137027
684 6138
35 15988
287 81583
740 200590
519 151033
788 214603
382 100540
446 130865
543 155414
742 203449
342 52232
648 179900
645 179734
672 184264
740 200737
101 37832
519 150370
