包名,可疑评论占比(T1=0.4),可疑评论占比(T1=0.6),可疑评论占比(T1=0.8),评论用户占可疑用户比例(T1=0.4),评论用户占可疑用户比例(T1=0.6),评论用户占可疑用户比例(T1=0.8)
com.squloan.android,0.8551774740897001,0.8319728515087591,0.8156470696138678,0.13459956116291827,0.15959059893858984,0.16495634170492393
com.android.apin,0.991941391941392,0.9897435897435898,0.9706959706959707,0.08646461876028524,0.10576194086429112,0.1110811054100279
com.kdlc.xqb,0.46408944476028047,0.4540458593898048,0.4540458593898048,0.08344761382336807,0.10037065116670879,0.10725537852191916
com.jzg.jzgoto.phone,0.4360116975351622,0.35009051664113633,0.3336582648656176,0.09685271530444323,0.10437199898913319,0.10658025024754704
cn.com.wealth365.licai,0.5056030389363723,0.4547008547008547,0.4288698955365622,0.08307048820625343,0.0925785527756718,0.09357277882797732
com.mayi.android.shortrent,0.40888772022087827,0.3761504075729687,0.37299500394425456,0.07683077345035655,0.08609215735826804,0.0909172742821136
com.tiange.grape,0.8029355803207393,0.7950530035335689,0.7757542810546344,0.06901398793198026,0.08398618482014994,0.08713655594562968
com.collectplus.express,0.9567502021018593,0.9413904607922393,0.8718674211802748,0.06363137685134394,0.07665740038749895,0.07705464038167252
com.jrd.loan,0.5978607191624943,0.41579426490669097,0.38484296768320436,0.06760833790455294,0.0694970937578974,0.07106850301557296
com.shunfengche.ride,0.46242457487657707,0.4459681843115743,0.4391113549094898,0.053037575425123426,0.06263162328363238,0.06589251957871996
com.jhwl.fjxa,0.8501584427342689,0.8438207333635129,0.797193300135808,0.053071859572133846,0.06477971527251285,0.06517238275272302
com.zhan.ieltstiku,0.39249061326658324,0.3599499374217772,0.3591989987484355,0.053654690071311024,0.06044141184398955,0.06449725447835089
com.zhan.toefltom,0.449063670411985,0.41647940074906364,0.41647940074906364,0.04110669226549644,0.04683682924774661,0.05004950940678729
app.twotiger.p2p,0.8626373626373627,0.8579277864992151,0.8210361067503925,0.037643993417443775,0.04599444023249937,0.047033936447925105
net.devking.randomchat.android,0.44131803035912626,0.41392077008515366,0.4024435394298408,0.03802111903455842,0.04359363153904473,0.045278602934557564
com.dai58.zhengxin,0.9033485540334856,0.882800608828006,0.837138508371385,0.0363069116840373,0.043467273186757645,0.04428841479881177
com.julanling.dgq,0.6690800681431005,0.6307495741056218,0.5681431005110733,0.038946791003839826,0.044267542751242527,0.04419839769556216
com.yourong.www,0.7146932952924394,0.7011412268188303,0.6733238231098431,0.031609983543609436,0.0380759834891753,0.038932397155459535
bczp.activity,0.6205067766647024,0.5981143193871538,0.5079552150854449,0.03527838727372463,0.0417403757055008,0.03879737150058511
com.unicom.zworeader.ui,0.5199152542372881,0.48559322033898306,0.42203389830508475,0.03411272627537027,0.03955016426585797,0.03785219191646413
com.niuwa.niubei.android,0.3958333333333333,0.36083333333333334,0.36083333333333334,0.030341470104223806,0.03495914413276051,0.03735709784859123
com.mallestudio.gugu.app,0.3694620253164557,0.35324367088607594,0.3528481012658228,0.02893582007679649,0.03415887456827563,0.03645692681609506
com.gjfax.app,0.48591788259246693,0.334577536477774,0.2921615201900237,0.037678277564454195,0.03651756381096791,0.03483661895760194
com.mobivans.onestrokecharge,0.42324324324324325,0.3854054054054054,0.3745945945945946,0.025987383433900165,0.02944149608289108,0.030605815104869927
com.kingdee.zhihuiji,0.7324276432368576,0.7247489663319551,0.70939161252215,0.023347504114097643,0.028472748715356752,0.02984066972724818
com.zhangdan.app,0.2576464489372732,0.18679799550717124,0.18386037670641092,0.029038672517827758,0.02779883750315896,0.02907552434962643
com.daikuan.jisu,0.8249475890985325,0.759958071278826,0.6698113207547169,0.02533598464070214,0.028514868166119114,0.02660005401026195
com.umaman.laiyifen,0.7348314606741573,0.7056179775280899,0.6640449438202247,0.02235326385079539,0.02636677617723865,0.026510036907012334
cn.douyuu.miqu,0.3190045248868778,0.2549019607843137,0.24849170437405732,0.025541689522764675,0.025482267711229047,0.026465028355387523
com.kingdee.zhihuiji.shop,0.6718009478672986,0.659952606635071,0.6540284360189573,0.019233406472846954,0.023207817370061494,0.024574669187145556
com.huobi,0.648346930012881,0.2674967797337913,0.23100042936882784,0.03082144816236972,0.025187431555892512,0.02407957511927266
com.lexiwed,0.7339955849889624,0.7064017660044151,0.6821192052980133,0.018959133296763575,0.022449667256338977,0.023359438293275723
com.okcoin.trader,0.3928358208955224,0.33492537313432835,0.3301492537313433,0.020844761382336808,0.022028472748715357,0.023224412638401297
com.yek.android.yemaijiu,0.8131443298969072,0.7757731958762887,0.6997422680412371,0.019370543060888645,0.022618145059388424,0.021829147538032227
com.wmlover,0.5513465522343889,0.3444806155667357,0.1559633027522936,0.040352441031267144,0.032853171594642405,0.02002880547303988
com.zelyy.finance,0.5770456960680127,0.5154091392136025,0.5154091392136025,0.016764947888096543,0.018574677786201668,0.01984877126654064
com.miaohua.fofalife,0.6479217603911981,0.6063569682151589,0.5929095354523227,0.015462150301700494,0.018111363827815686,0.01890359168241966
cn.bivlea,0.5099557522123894,0.3418141592920354,0.17699115044247787,0.036238343390016456,0.029525734984415804,0.018363489062921956
com.arsenal.FunWeather,0.971107544141252,0.898876404494382,0.8218298555377207,0.01597641250685683,0.01840619998315222,0.018273471959672338
com.fairytale.fortune,0.2542351453855879,0.11276864728192162,0.10973451327433628,0.03212424574876577,0.017437452615617893,0.018273471959672338
com.nd.up91.p17,0.9284802043422733,0.8582375478927203,0.7828863346104725,0.016044980800877674,0.017985005475528597,0.017598343685300208
com.slkj.paotui.customer,0.6427860696517413,0.6019900497512438,0.23532338308457712,0.022387547997805814,0.024218684188358184,0.01683319830767846
cn.mirong.caishenloan,0.44273127753303965,0.40969162995594716,0.40748898678414097,0.013782227098189798,0.015668435683598686,0.016653164101179223
com.byyuanyoubao.app.ui,0.45454545454545453,0.44823232323232326,0.44823232323232326,0.012342292923752057,0.014952405020638531,0.015978035826807093
com.unicom.wopay,0.4969249692496925,0.4354243542435424,0.4354243542435424,0.013850795392210642,0.01491028556987617,0.015933027275182286
com.gwchina.lssw.parent,0.43028846153846156,0.3389423076923077,0.29086538461538464,0.016662095447065275,0.016089630191222306,0.015482941758934197
com.summon.calldragon,0.34355044699872284,0.23690932311621968,0.22349936143039592,0.017484914975315412,0.014531210513014911,0.014582770726438023
cn.danatech.xingseapp,0.5704347826086956,0.5704347826086956,0.5530434782608695,0.011245200219418541,0.013815179850054756,0.01431271941668917
com.coohua.xinwenzhuan,0.5187043795620438,0.35036496350364965,0.3156934306569343,0.012513713658804168,0.01145649060736248,0.011702223422450265
